gene,trans,speciesMatch,chr,five_prime_UTR,three_prime_UTR,evalue,bitScore,rawValue,percentMatch,other,proteinMatch,noSpeciesMatchesPerTranscript
Zm00001d048284,Zm00001d048284_T001,sorghum,9,153880862,153883850,2.63E-93,344,219,94.977,208,EER95402,4
Zm00001d048284,Zm00001d048284_T001,sorghum,9,153880862,153883850,2.65E-88,327,252,90.476,228,EER95402,4
Zm00001d048284,Zm00001d048284_T001,sorghum,9,153880862,153883850,1.65E-60,235,202,88.119,178,EER95402,4
Zm00001d048284,Zm00001d048284_T001,brachypodium,9,153880862,153883850,9.6E-83,309,466,79.828,372,KQK23340,4
Zm00001d048284,Zm00001d048284_T001,setaria,9,153880862,153883850,2.71E-73,278,245,87.755,215,KQK92320,4
Zm00001d048284,Zm00001d048284_T001,setaria,9,153880862,153883850,2.71E-73,278,218,89.908,196,KQK92320,4
Zm00001d048284,Zm00001d048284_T001,rice,9,153880862,153883850,1.65E-60,235,172,91.279,157,Os03t0178200-01,4
Zm00001d048284,Zm00001d048284_T001,rice,9,153880862,153883850,1.65E-60,235,172,91.279,157,Os03t0178200-02,4
Zm00001d048284,Zm00001d048284_T001,brachypodium,9,153880862,153883850,4.66E-51,204,193,86.01,166,KQK23341,4
Zm00001d048284,Zm00001d048284_T001,brachypodium,9,153880862,153883850,7.91E-39,163,198,82.323,163,KQK23341,4
Zm00001d048284,Zm00001d048284_T002,sorghum,9,153880862,153883850,6.27E-87,322,240,91.25,219,EER95402,3
Zm00001d048284,Zm00001d048284_T002,sorghum,9,153880862,153883850,1.13E-29,132,122,86.885,106,EER95402,3
Zm00001d048284,Zm00001d048284_T002,setaria,9,153880862,153883850,1.78E-72,274,240,87.917,211,KQK92320,3
Zm00001d048284,Zm00001d048284_T002,brachypodium,9,153880862,153883850,5.2E-38,159,193,82.383,159,KQK23341,3
Zm00001d048284,Zm00001d048284_T002,brachypodium,9,153880862,153883850,5.2E-38,159,193,82.383,159,KQK23340,3
Zm00001d048284,Zm00001d048284_T003,sorghum,9,153880897,153883732,7.58E-24,111,78,92.308,72,EER95402,1
Zm00001d036601,Zm00001d036601_T001,sorghum,6,94185722,94186524,1.33E-86,320,230,91.739,211,EES10812,1
Zm00001d028803,Zm00001d028803_T002,sorghum,1,46852702,46858687,0,2988,2517,88.399,2225,EER92402,4
Zm00001d028803,Zm00001d028803_T002,sorghum,1,46852702,46858687,0,1236,1046,88.145,922,EER92402,4
Zm00001d028803,Zm00001d028803_T002,sorghum,1,46852702,46858687,0,2988,2517,88.399,2225,OQU92748,4
Zm00001d028803,Zm00001d028803_T002,sorghum,1,46852702,46858687,0,953,851,87.074,741,OQU92748,4
Zm00001d028803,Zm00001d028803_T002,setaria,1,46852702,46858687,0,963,1052,83.555,879,KQK91269,4
Zm00001d028803,Zm00001d028803_T002,setaria,1,46852702,46858687,0,723,813,82.903,674,KQK91269,4
Zm00001d028803,Zm00001d028803_T002,setaria,1,46852702,46858687,1.26E-147,527,646,82.043,530,KQK91269,4
Zm00001d028803,Zm00001d028803_T002,rice,1,46852702,46858687,0,699,1065,79.061,842,Os03t0298700-01,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,0,658,1072,78.358,840,KQK22075,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,1.38E-82,311,332,83.735,278,KQK22075,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,6.78E-41,172,530,73.585,390,KQK22075,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,2.18E-120,436,875,76.343,668,KQK22076,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,1.38E-82,311,332,83.735,278,KQK22076,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,6.78E-41,172,530,73.585,390,KQK22076,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,2.18E-120,436,875,76.343,668,PNT77561,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,1.38E-82,311,332,83.735,278,PNT77561,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,6.78E-41,172,530,73.585,390,PNT77561,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,2.18E-120,436,875,76.343,668,PNT77562,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,1.38E-82,311,332,83.735,278,PNT77562,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,6.78E-41,172,530,73.585,390,PNT77562,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,2.18E-120,436,875,76.343,668,PNT77560,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,1.38E-82,311,332,83.735,278,PNT77560,4
Zm00001d028803,Zm00001d028803_T002,brachypodium,1,46852702,46858687,6.78E-41,172,530,73.585,390,PNT77560,4
Zm00001d028803,Zm00001d028803_T001,sorghum,1,46852702,46857481,0,2892,2517,87.803,2210,EER92402,4
Zm00001d028803,Zm00001d028803_T001,sorghum,1,46852702,46857481,0,953,851,87.074,741,EER92402,4
Zm00001d028803,Zm00001d028803_T001,sorghum,1,46852702,46857481,0,2892,2517,87.803,2210,OQU92748,4
